X Displacement (mm),Force_Up_X (N),Force_Up_Y (N),Force_Up_Z (N),Force_Down_X (N),Force_Down_Y (N),Force_Down_Z (N)
-1.4975,-0.000738449758109671,-0.000665582974737772,0.000816868041204033,-0.0014382894225974,-0.000704349893517228,0.00104251353003141
-1.4965,-0.000714931175212197,-0.000655287286087376,0.000806202246098884,-0.00161696839689145,-0.000704349893517228,0.00109673100505575
-1.4955,-0.000691412592314717,-0.000644991597436977,0.000795536450993732,-0.00172509356078273,-0.000706597923781814,0.00112720378822766
-1.4945,-0.000667894009417244,-0.00063469590878658,0.000784870655888583,-0.00175277274289576,-0.000711409174950688,0.0011306026963362
-1.4935,-0.000644375426519764,-0.000624400220136182,0.000774204860783431,-0.0017804519250088,-0.000716220426119564,0.00113400160444474
-1.4925,-0.00062085684362229,-0.000614104531485785,0.000763539065678282,-0.00180813110712183,-0.000721031677288438,0.00113740051255328
-1.4915,-0.00059733826072481,-0.000603808842835387,0.000752873270573131,-0.00183581028923486,-0.000725842928457314,0.00114079942066182
-1.4905,-0.000573819677827336,-0.00059351315418499,0.000742207475467981,-0.00186348947134789,-0.000730654179626189,0.00114419832877036
-1.4895,-0.000550301094929857,-0.000583217465534591,0.000731541680362829,-0.00187500556277255,-0.000736161460071134,0.00114196946306333
-1.4885,-0.000526782512032383,-0.000572921776884195,0.000720875885257681,-0.00187500556277255,-0.000742164656608614,0.00113573084705379
-1.4875,-0.000503263929134903,-0.000562626088233796,0.000710210090152529,-0.00187500556277255,-0.000748167853146094,0.00112949223104426
-1.4865,-0.000479745346237429,-0.0005523303995834,0.00069954429504738,-0.00187500556277255,-0.000754171049683573,0.00112325361503472
-1.4855,-0.00045622676333995,-0.000542034710933001,0.000688878499942228,-0.00187500556277255,-0.000760174246221054,0.00111701499902518
-1.4845,-0.000432708180442476,-0.000531739022282605,0.000678212704837079,-0.00187500556277255,-0.000766177442758532,0.00111077638301564
-1.4835,-0.000409189597544996,-0.000521443333632206,0.000667546909731927,-0.00187500556277255,-0.000772180639296013,0.0011045377670061
-1.4825,-0.000385671014647522,-0.00051114764498181,0.000656881114626778,-0.00187500556277255,-0.000778183835833492,0.00109829915099657
-1.4815,-0.000362152431750042,-0.000500851956331411,0.000646215319521626,-0.00187500556277255,-0.000784187032370972,0.00109206053498703
-1.4805,-0.000338633848852567,-0.000490556267681014,0.000635549524416477,-0.00187500556277255,-0.000790190228908451,0.00108582191897749
-1.4795,-0.000315115265955087,-0.000480260579030616,0.000624883729311325,-0.00187500556277255,-0.000796193425445931,0.00107958330296795
-1.4785,-0.000291596683057612,-0.000469964890380219,0.000614217934206175,-0.00187500556277255,-0.000802196621983411,0.00107334468695842
-1.4775,-0.000268078100160133,-0.00045966920172982,0.000603552139101023,-0.00187500556277255,-0.000808199818520891,0.00106710607094888
-1.4765,-0.000244559517262658,-0.000449373513079423,0.000592886343995874,-0.00187500556277255,-0.00081420301505837,0.00106086745493934
-1.4755,-0.000221040934365178,-0.000439077824429024,0.000582220548890722,-0.00187500556277255,-0.00082020621159585,0.0010546288389298
-1.4745,-0.000197522351467702,-0.000428782135778627,0.000571554753785572,-0.00187500556277255,-0.000826209408133329,0.00104839022292027
-1.4735,-0.000192488841394972,-0.000427778943333741,0.000563028294503575,-0.00187500556277255,-0.000832212604670809,0.00104215160691073
-1.4725,-0.000191803769684725,-0.000428961722638407,0.000555005093718413,-0.00187500556277255,-0.000838215801208287,0.00103591299090119
-1.4715,-0.000191118697974478,-0.000430144501943072,0.000546981892933249,-0.00187500556277255,-0.000844218997745767,0.00102967437489165
-1.4705,-0.000190433626264231,-0.000431327281247737,0.000538958692148087,-0.00187500556277255,-0.000850222194283246,0.00102343575888212
-1.4695,-0.000189748554553983,-0.000432510060552402,0.000530935491362922,-0.00187500556277255,-0.000856225390820726,0.00101719714287258
-1.4685,-0.000189063482843737,-0.000433692839857069,0.00052291229057776,-0.00187500556277255,-0.000862228587358205,0.00101095852686304
-1.4675,-0.00018837841113349,-0.000434875619161734,0.000514889089792596,-0.00187500556277255,-0.000868231783895685,0.0010047199108535
-1.4665,-0.000187693339423243,-0.000436058398466398,0.000506865889007434,-0.00187500556277255,-0.000874234980433164,0.000998481294843967
-1.4655,-0.000187008267712996,-0.000437241177771065,0.00049884268822227,-0.00187500556277255,-0.000880238176970644,0.000992242678834429
-1.4645,-0.000186323196002748,-0.00043842395707573,0.000490819487437108,-0.00187500556277255,-0.000886241373508123,0.000986004062824892
-1.4635,-0.000185638124292501,-0.000439606736380395,0.000482796286651944,-0.00187500556277255,-0.000892244570045603,0.000979765446815354
-1.4625,-0.000184953052582254,-0.00044078951568506,0.000474773085866782,-0.00187500556277255,-0.000898247766583081,0.000973526830805817
-1.4615,-0.000184267980872007,-0.000441972294989726,0.000466749885081617,-0.00187500556277255,-0.000904250963120562,0.000967288214796279
-1.4605,-0.00018358290916176,-0.000443155074294391,0.000458726684296455,-0.00187500556277255,-0.000910254159658041,0.000961049598786742
-1.4595,-0.000182897837451513,-0.000444337853599056,0.000450703483511292,-0.00187500556277255,-0.000916257356195521,0.000954810982777204
-1.4585,-0.000182212765741266,-0.000445520632903722,0.000442680282726129,-0.00187500556277255,-0.000922260552733,0.000948572366767667
-1.4575,-0.000185666844008045,-0.000448762327968835,0.000435249756700323,-0.00187500556277255,-0.00092826374927048,0.000942333750758128
-1.4565,-0.000189709584455938,-0.000452296838188993,0.000427903519772154,-0.00187500556277255,-0.000934266945807959,0.000936095134748591
-1.4555,-0.000193752324903831,-0.000455831348409151,0.000420557282843983,-0.00187500556277255,-0.000940270142345439,0.000929856518739053
-1.4545,-0.000197795065351723,-0.000459365858629307,0.000413211045915813,-0.00187500556277255,-0.000946273338882918,0.000923617902729516
-1.4535,-0.000201837805799616,-0.000462900368849465,0.000405864808987642,-0.00187500556277255,-0.000952276535420399,0.000917379286719978
-1.4525,-0.000205880546247508,-0.000466434879069623,0.000398518572059473,-0.00187500556277255,-0.000958279731957878,0.000911140670710441
-1.4515,-0.000209923286695401,-0.00046996938928978,0.000391172335131302,-0.00187500556277255,-0.000964282928495358,0.000904902054700903
-1.4505,-0.000213966027143293,-0.000473503899509937,0.000383826098203132,-0.00187500556277255,-0.000970286125032837,0.000898663438691365
-1.4495,-0.000218008767591186,-0.000477038409730095,0.000376479861274961,-0.00187366327401773,-0.000971513900920143,0.000893722181826494
-1.4485,-0.000222051508039078,-0.000480572919950253,0.000369133624346791,-0.00187140095428247,-0.000969468510041331,0.00088967016030802
-1.4475,-0.000226094248486971,-0.00048410743017041,0.000361787387418619,-0.00186913863454722,-0.00096742311916252,0.000885618138789544
-1.4465,-0.000230136988934863,-0.000487641940390567,0.00035444115049045,-0.00186687631481196,-0.000965377728283708,0.000881566117271069
-1.4455,-0.000234179729382756,-0.000491176450610725,0.000347094913562279,-0.0018646139950767,-0.000963332337404896,0.000877514095752594
-1.4445,-0.000238222469830648,-0.000494710960830883,0.000339748676634109,-0.00186235167534144,-0.000961286946526084,0.000873462074234119
-1.4435,-0.000242265210278541,-0.00049824547105104,0.000332402439705938,-0.00186008935560618,-0.000959241555647273,0.000869410052715644
-1.4425,-0.000246307950726433,-0.000501779981271197,0.000325056202777768,-0.00185782703587093,-0.000957196164768461,0.000865358031197169
-1.4415,-0.000250350691174326,-0.000505314491491355,0.000317709965849597,-0.00185556471613567,-0.000955150773889649,0.000861306009678693
-1.4405,-0.000254393431622218,-0.000508849001711512,0.000310363728921428,-0.00185330239640041,-0.000953105383010837,0.000857253988160219
-1.4395,-0.000258436172070111,-0.00051238351193167,0.000303017491993257,-0.00185104007666515,-0.000951059992132026,0.000853201966641743
-1.4385,-0.000262478912518003,-0.000515918022151827,0.000295671255065087,-0.0018487777569299,-0.000949014601253214,0.000849149945123268
