c1,percent_error
19.71633455125515,628.4145130260464
31.283665448744845,944.5539809682003
12.567330897489697,428.93891470158997
8.149003653765458,304.48480955359855
5.418327243724239,228.60962276779705
3.7306764100412204,182.5590024400971
2.687650833683019,155.56834687475822
2.0430255763582017,139.8460660329371
1.6446252573248175,130.16166127633008
1.3984003190333842,124.4359675240834
1.2462249382914332,121.1445409795829
1.1521753807419512,119.20610280640685
1.094049557549482,118.01390126557496
1.058125823192469,117.29974106490573
19.71633455125515,628.414513026028
31.283665448744845,944.5539809682407
12.567330897489697,428.93891470157337
8.149003653765458,304.4848095535883
5.418327243724239,228.60962276779415
3.7306764100412204,182.5590024401273
2.687650833683019,155.5683468747592
2.0430255763582017,139.84606603295035
1.6446252573248175,130.16166127634844
1.3984003190333842,124.43596752408124
1.2462249382914332,121.14454097956333
1.1521753807419512,119.20610280642299
1.094049557549482,118.01390126556393
1.058125823192469,117.29974106492386
12.0,652.1089594631212
12.0,2586.995055187818
12.0,2586.995055187923
12.0,16183639.24177703
